week,discipline,bucket,hours
1,swim,easy,1.44
1,swim,moderate,0.0
1,swim,hard,0.0
1,bike,easy,2.0
1,bike,moderate,0.0
1,bike,hard,0.0
1,run,easy,5.2
1,run,moderate,2.16
1,run,hard,0.0
2,swim,easy,0.0
2,swim,moderate,0.0
2,swim,hard,1.72
2,bike,easy,2.0
2,bike,moderate,0.0
2,bike,hard,0.0
2,run,easy,4.88
2,run,moderate,0.0
2,run,hard,0.0
3,swim,easy,0.0
3,swim,moderate,0.0
3,swim,hard,1.0
3,bike,easy,1.31
3,bike,moderate,0.0
3,bike,hard,0.69
3,run,easy,5.46
3,run,moderate,0.0
3,run,hard,0.0
4,swim,easy,0.47
4,swim,moderate,0.0
4,swim,hard,0.53
4,bike,easy,7.66
4,bike,moderate,0.0
4,bike,hard,0.0
4,run,easy,0.0
4,run,moderate,1.5
4,run,hard,0.0
5,swim,easy,0.26
5,swim,moderate,0.74
5,swim,hard,0.0
5,bike,easy,8.3
5,bike,moderate,0.0
5,bike,hard,0.0
5,run,easy,1.5
5,run,moderate,0.0
5,run,hard,0.0
6,swim,easy,6.77
6,swim,moderate,0.0
6,swim,hard,0.0
6,bike,easy,1.87
6,bike,moderate,0.13
6,bike,hard,0.0
6,run,easy,0.0
6,run,moderate,0.0
6,run,hard,2.03
7,swim,easy,1.0
7,swim,moderate,0.0
7,swim,hard,0.0
7,bike,easy,2.0
7,bike,moderate,0.0
7,bike,hard,0.0
7,run,easy,7.23
7,run,moderate,0.0
7,run,hard,0.0
8,swim,easy,0.0
8,swim,moderate,1.89
8,swim,hard,0.0
8,bike,easy,2.0
8,bike,moderate,0.0
8,bike,hard,0.0
8,run,easy,5.58
8,run,moderate,0.0
8,run,hard,0.0
9,swim,easy,8.38
9,swim,moderate,0.0
9,swim,hard,0.0
9,bike,easy,2.0
9,bike,moderate,0.0
9,bike,hard,0.0
9,run,easy,0.0
9,run,moderate,0.0
9,run,hard,1.62
10,swim,easy,5.04
10,swim,moderate,0.0
10,swim,hard,2.14
10,bike,easy,2.0
10,bike,moderate,0.0
10,bike,hard,0.0
10,run,easy,1.5
10,run,moderate,0.0
10,run,hard,0.0
11,swim,easy,6.48
11,swim,moderate,0.0
11,swim,hard,0.0
11,bike,easy,2.0
11,bike,moderate,0.0
11,bike,hard,0.0
11,run,easy,0.0
11,run,moderate,0.0
11,run,hard,2.12
12,swim,easy,0.0
12,swim,moderate,0.0
12,swim,hard,1.0
12,bike,easy,5.77
12,bike,moderate,0.0
12,bike,hard,0.82
12,run,easy,1.5
12,run,moderate,0.0
12,run,hard,0.0
13,swim,easy,7.5
13,swim,moderate,0.0
13,swim,hard,0.0
13,bike,easy,0.0
13,bike,moderate,0.0
13,bike,hard,2.25
13,run,easy,1.5
13,run,moderate,0.0
13,run,hard,0.0
14,swim,easy,1.0
14,swim,moderate,0.0
14,swim,hard,0.0
14,bike,easy,2.0
14,bike,moderate,0.0
14,bike,hard,0.0
14,run,easy,1.5
14,run,moderate,0.0
14,run,hard,0.0
15,swim,easy,1.0
15,swim,moderate,0.0
15,swim,hard,0.0
15,bike,easy,2.0
15,bike,moderate,0.0
15,bike,hard,0.0
15,run,easy,1.5
15,run,moderate,0.0
15,run,hard,0.0
16,swim,easy,1.0
16,swim,moderate,0.0
16,swim,hard,0.0
16,bike,easy,2.0
16,bike,moderate,0.0
16,bike,hard,0.0
16,run,easy,1.5
16,run,moderate,0.0
16,run,hard,0.0
